t_us,ptr,bytes,kind,tag,owner_func,owner_site
12279485073,0x796f211ed200,,FREE,,,
12279485077,0x796f211e5a00,,FREE,,,
12279485082,0x796f2132c000,,FREE,,,
12279485086,0x796f2118ba00,,FREE,,,
12279485091,0x796f25e00000,,FREE,,,
12279486270,0x796f21189c00,,FREE,,,
12279486275,0x796f21186000,,FREE,,,
12279486279,0x796f19ff8600,,FREE,,,
12279486283,0x796f19fda600,,FREE,,,
12279486287,0x796f2112c000,,FREE,,,
12279486291,0x796f25c00000,,FREE,,,
12279486295,0x796f20ffe000,,FREE,,,
12279486299,0x796f19fd6a00,,FREE,,,
12279486302,0x796f19fcf200,,FREE,,,
12279486306,0x796f19fb1200,,FREE,,,
12279487322,0x796f20fa4000,,FREE,,,
12279488289,0x796f23e00000,,FREE,,,
12279488293,0x796f23c00000,,FREE,,,
12279488298,0x796f25d2c000,,FREE,,,
12279488690,0x796f23df6800,,FREE,,,
12279488694,0x796f23df2c00,,FREE,,,
12279488698,0x796f23deb400,,FREE,,,
12279488702,0x796f23f86000,,FREE,,,
12279488706,0x796f23f2c000,,FREE,,,
12279489323,0x796f12600000,,FREE,,,
12279489328,0x796f213fe000,,FREE,,,
12279489332,0x796f23de7800,,FREE,,,
12279489336,0x796f23de0000,,FREE,,,
12279489339,0x796f213e0000,,FREE,,,
12279489343,0x796f23d86000,,FREE,,,
12279489347,0x796f12400000,,FREE,,,
12279489352,0x796f211fe000,,FREE,,,
12279489356,0x796f211fa400,,FREE,,,
12279489359,0x796f211f2c00,,FREE,,,
12279490344,0x796f213c2000,,FREE,,,
12279491381,0x796f23d2c000,,FREE,,,
12279492315,0x796f12200000,,FREE,,,
12279492320,0x796f12000000,,FREE,,,
12279492334,0x796f1292c000,,FREE,,,
12279493331,0x796f127bc600,,FREE,,,
12279493336,0x796f127b8a00,,FREE,,,
12279493340,0x796f127b1200,,FREE,,,
12279493344,0x796f12793200,,FREE,,,
12279493348,0x796f12739200,,FREE,,,
12279493351,0x796f13e00000,,FREE,,,
12279494385,0x796f13c00000,,FREE,,,
12279495474,0x796f12737400,,FREE,,,
12279495478,0x796f12733800,,FREE,,,
12279495482,0x796f1272c000,,FREE,,,
12279496471,0x796f125e1e00,,FREE,,,
12279496476,0x796f12587e00,,FREE,,,
12279496479,0x796f13a00000,,FREE,,,
12279497479,0x796f12586000,,FREE,,,
12279497483,0x796f121fc200,,FREE,,,
12279497487,0x796f121f4a00,,FREE,,,
12279497491,0x796f121d6a00,,FREE,,,
12279497495,0x796f1252c000,,FREE,,,
12279498446,0x796f13800000,,FREE,,,
12279498450,0x796f123fe000,,FREE,,,
12279498454,0x796f121d2e00,,FREE,,,
12279498458,0x796f121cb600,,FREE,,,
12279498461,0x796f121ad600,,FREE,,,
12279499389,0x796f123a4000,,FREE,,,
12279500378,0x796f13600000,,FREE,,,
12279501342,0x796f0e2e1000,,FREE,,,
12279502359,0x796f1392c000,,FREE,,,
12279503356,0x796f13400000,,FREE,,,
12279503856,0x796f11800000,,FREE,,,
12279504564,0x796f135a4000,,FREE,,,
