app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
hb_fma,implicit_fma_kernel,G1-bandwidth,3940.963,0.259,0.654,0.088,1.5,ok
hb_fma,implicit_fma_kernel_rowwise,G3-l2-reuse,14058.202,0.571,0.083,0.346,1.6,ok
hb_fpc,fpc_kernel,G1-bandwidth,16.245,0.321,0.896,-0.216,14.0,nonphysical
hb_fpdc,CompressionKernel,G4-latency,1000.097,0.661,0.198,0.141,0.7,ok
hb_fresnel,kernel,G5-compute,19172.633,1.0,0.0,0.0,0.0,ok
hb_fsm,FSMKernel,G1-bandwidth,15616.899,0.058,0.674,0.269,1.7,ok
hb_fsm,MaxKernel,G3-l2-reuse,0.022,0.522,0.129,0.349,1.0,ok
hb_fwt,fwtBatch2Kernel,G1-bandwidth,549.566,0.006,0.889,0.105,0.2,ok
hb_fwt,fwtBatch1Kernel,G1-bandwidth,114.192,0.62,0.703,-0.323,14.3,nonphysical
hb_fwt,modulateKernel,G1-bandwidth,49.049,0.002,0.892,0.106,0.1,ok
hb_ga,ga,G7-dependency,294.9,1.002,-0.0,-0.002,0.3,ok
hb_gamma_correction,gamma_correction,G1-bandwidth,127.212,0.193,0.805,0.001,4.6,ok
hb_gaussian,fan2,G1-bandwidth,1311.792,0.462,0.469,0.069,3.1,ok
hb_gaussian,fan1,G2-coalescing,9.618,0.532,0.089,0.379,1.1,ok
hb_gc,runSmall,G3-l2-reuse,6.6,0.919,0.002,0.079,0.5,ok
hb_gc,init,G3-l2-reuse,3.38,0.798,0.002,0.199,0.7,ok
hb_gc,runLarge,G3-l2-reuse,2.71,0.867,-0.011,0.143,0.5,ok
hb_geam,transpose_readWrite_alignment_kernel,G1-bandwidth,6476.934,0.014,0.883,0.104,0.6,ok
hb_geglu,geglu_kernel,G1-bandwidth,13406.897,0.008,0.9,0.091,0.4,ok
hb_gels,geqrSolve_batch_kernel,G7-dependency,107.099,0.94,0.002,0.058,0.3,ok
hb_gels,trsm_batch_left_upper_kernel_small,G3-l2-reuse,20.395,0.878,0.001,0.121,0.8,ok
hb_gemv,gemv_quantized_int8,G1-bandwidth,140.762,0.582,0.586,-0.168,10.0,nonphysical
hb_graphExecution,reduce,G5-compute,1361.224,0.985,0.006,0.009,0.1,ok
hb_graphExecution,reduceFinal,G2-coalescing,2.422,0.7,0.068,0.232,1.4,ok
hb_groupnorm,groupnorm_forward_kernel,G1-bandwidth,1.747,0.959,0.0,0.041,0.1,ok
hb_groupnorm,groupnorm_backward_kernel,G1-bandwidth,2.811,0.974,-0.001,0.026,0.1,ok
hb_groupnorm,groupnorm_forward_kernel2,G1-bandwidth,1.736,0.962,-0.0,0.038,0.1,ok
hb_gru,gru_cell_forward,G1-bandwidth,1328.15,0.002,0.897,0.101,0.1,ok
hb_haccmk,haccmk_kernel,G7-dependency,2348.41,0.953,0.0,0.047,0.3,ok
hb_hadamard,fast_hadamard_transform_kernel,G3-l2-reuse,436.278,0.587,0.564,-0.151,8.3,nonphysical
hb_hausdorff,computeDistance,G3-l2-reuse,4555.645,0.986,0.0,0.014,0.0,ok
hb_heat,solve,G1-bandwidth,1424.357,0.99,0.622,-0.612,15.5,nonphysical
hb_heat,initial_value,G5-compute,15.363,1.0,0.002,-0.001,0.0,ok
hb_heat,zero,G1-bandwidth,0.605,0.03,0.898,0.073,1.3,ok
hb_heat2d,dev_lapl_iter,G1-bandwidth,713.558,0.737,0.702,-0.439,18.4,nonphysical
hb_hellinger,hellinger,G3-l2-reuse,2280.957,0.816,0.003,0.181,1.0,ok
hb_hexciton,comm_empty,G7-dependency,0.906,0.6,0.001,0.399,2.8,ok
hb_histogram,histogram_smem_atomics,G1-bandwidth,22.379,0.204,0.65,0.146,0.5,ok
hb_histogram,histogram_smem_accum,G4-latency,4.11,0.687,0.007,0.305,1.9,ok
hb_hmm,viterbi,G2-coalescing,168.264,0.989,0.0,0.01,0.0,ok
hb_hungarian,step_4,G3-l2-reuse,45.577,0.584,-0.028,0.444,6.8,nonphysical
hb_hungarian,compress_matrix,G1-bandwidth,110.81,0.034,0.033,0.933,2.2,ok
hb_hungarian,step_5b,G4-latency,1.411,0.61,-0.018,0.407,7.1,ok
hb_hungarian,step_5a,G4-latency,1.402,0.619,-0.005,0.386,7.0,ok
hb_hungarian,step_6_add_sub,G1-bandwidth,2.808,0.386,-0.015,0.629,0.2,ok
hb_hungarian,step_1_col_sub,G1-bandwidth,0.3,0.46,-0.04,0.58,1.2,nonphysical
hb_hungarian,step_3,G3-l2-reuse,7.139,0.06,-0.014,0.953,2.6,ok
hb_hungarian,calc_min_in_rows,G1-bandwidth,0.163,0.965,0.012,0.023,0.2,ok
hb_hungarian,calc_min_in_cols,G1-bandwidth,0.085,0.87,-0.003,0.133,0.2,ok
hb_hungarian,step_1_row_sub,G1-bandwidth,0.171,0.766,0.003,0.231,0.8,ok
hb_hungarian,step_3ini,G7-dependency,3.043,0.221,-0.195,0.973,0.5,nonphysical
hb_hungarian,step_2,G2-coalescing,0.196,0.575,0.021,0.404,2.7,ok
hb_hungarian,step_4_init,G6-onchip,0.411,0.607,-0.003,0.396,4.6,ok
hb_hungarian,min_reduce_kernel1,G1-bandwidth,0.84,0.865,0.005,0.13,0.0,ok
hb_hungarian,min_reduce_kernel2,G3-l2-reuse,0.129,0.699,0.006,0.295,1.9,ok
hb_hungarian,init,G7-dependency,0.014,0.628,0.051,0.321,1.4,ok
hb_hwt1d,dwtHaar1D,G1-bandwidth,31.306,0.635,0.479,-0.113,7.5,nonphysical
hb_hypterm,hypterm_1,G5-compute,3827.852,0.999,0.001,0.0,0.0,ok
hb_hypterm,hypterm_2,G1-bandwidth,3590.83,0.996,0.043,-0.04,1.1,ok
hb_hypterm,hypterm_3,G1-bandwidth,3587.904,0.996,0.289,-0.285,7.2,nonphysical
